source,dataset,severity,seed,status,validation_passed,achieved_rate,excluded_columns
openml,churn,0.1,2,OK,True,"{'account_length': 0.08527648234510327, 'number_vmail_messages': 0.09993337774816789, 'total_day_minutes': 0.10459693537641572, 'total_day_calls': 0.09460359760159893, 'total_eve_minutes': 0.1072618254497002, 'total_eve_calls': 0.12125249833444371, 'total_night_minutes': 0.1105929380413058, 'total_night_calls': 0.10992671552298468, 'total_intl_minutes': 0.09993337774816789, 'total_intl_calls': 0.09993337774816789}",
openml,churn,0.1,3,OK,True,"{'account_length': 0.10459693537641572, 'number_vmail_messages': 0.12658227848101267, 'total_day_minutes': 0.10592938041305797, 'total_day_calls': 0.10592938041305797, 'total_eve_minutes': 0.1039307128580946, 'total_eve_calls': 0.11858760826115923, 'total_night_minutes': 0.09926715522984676, 'total_night_calls': 0.09793471019320453, 'total_intl_minutes': 0.09127248500999334, 'total_intl_calls': 0.1039307128580946}",
openml,churn,0.15,1,OK,True,"{'account_length': 0.14057295136575615, 'number_vmail_messages': 0.16788807461692204, 'total_day_minutes': 0.15123251165889406, 'total_day_calls': 0.14656895403064624, 'total_eve_minutes': 0.13857428381079281, 'total_eve_calls': 0.14790139906728847, 'total_night_minutes': 0.15856095936042638, 'total_night_calls': 0.14990006662225183, 'total_intl_minutes': 0.15722851432378415, 'total_intl_calls': 0.1558960692871419}",
openml,churn,0.15,2,OK,True,"{'account_length': 0.14457028647568287, 'number_vmail_messages': 0.15323117921385743, 'total_day_minutes': 0.16122584943371085, 'total_day_calls': 0.1485676215856096, 'total_eve_minutes': 0.1552298467688208, 'total_eve_calls': 0.16389073950699534, 'total_night_minutes': 0.16189207195203198, 'total_night_calls': 0.15722851432378415, 'total_intl_minutes': 0.1425716189207195, 'total_intl_calls': 0.14057295136575615}",
openml,churn,0.15,3,OK,True,"{'account_length': 0.15656229180546302, 'number_vmail_messages': 0.1765489673550966, 'total_day_minutes': 0.14790139906728847, 'total_day_calls': 0.1518987341772152, 'total_eve_minutes': 0.1525649566955363, 'total_eve_calls': 0.16788807461692204, 'total_night_minutes': 0.15456362425049966, 'total_night_calls': 0.1552298467688208, 'total_intl_minutes': 0.13590939373750832, 'total_intl_calls': 0.1518987341772152}",
openml,churn,0.2,1,OK,True,"{'account_length': 0.18654230512991338, 'number_vmail_messages': 0.2211858760826116, 'total_day_minutes': 0.20319786808794138, 'total_day_calls': 0.1905396402398401, 'total_eve_minutes': 0.18454363757495004, 'total_eve_calls': 0.19586942038640906, 'total_night_minutes': 0.20586275816122585, 'total_night_calls': 0.1972018654230513, 'total_intl_minutes': 0.21585609593604263, 'total_intl_calls': 0.21052631578947367}",
openml,churn,0.2,2,OK,True,"{'account_length': 0.2005329780146569, 'number_vmail_messages': 0.20386409060626248, 'total_day_minutes': 0.2111925383077948, 'total_day_calls': 0.19453697534976683, 'total_eve_minutes': 0.20319786808794138, 'total_eve_calls': 0.20986009327115257, 'total_night_minutes': 0.20852764823451034, 'total_night_calls': 0.20386409060626248, 'total_intl_minutes': 0.18920719520319787, 'total_intl_calls': 0.1838774150566289}",
openml,churn,0.2,3,OK,True,"{'account_length': 0.20586275816122585, 'number_vmail_messages': 0.21918720852764823, 'total_day_minutes': 0.1938707528314457, 'total_day_calls': 0.20319786808794138, 'total_eve_minutes': 0.1972018654230513, 'total_eve_calls': 0.21185876082611593, 'total_night_minutes': 0.20652898067954698, 'total_night_calls': 0.20852764823451034, 'total_intl_minutes': 0.19187208527648233, 'total_intl_calls': 0.1872085276482345}",
openml,churn,0.25,1,OK,True,"{'account_length': 0.24250499666888742, 'number_vmail_messages': 0.27181878747501664, 'total_day_minutes': 0.24383744170552965, 'total_day_calls': 0.23117921385742837, 'total_eve_minutes': 0.23784143904063956, 'total_eve_calls': 0.24783477681545638, 'total_night_minutes': 0.25782811459027316, 'total_night_calls': 0.2491672218520986, 'total_intl_minutes': 0.26115922718187873, 'total_intl_calls': 0.2664890073284477}",
openml,churn,0.25,2,OK,True,"{'account_length': 0.25383077948034644, 'number_vmail_messages': 0.2598267821452365, 'total_day_minutes': 0.2631578947368421, 'total_day_calls': 0.24450366422385075, 'total_eve_minutes': 0.24850099933377748, 'total_eve_calls': 0.2551632245169887, 'total_night_minutes': 0.2558294470353098, 'total_night_calls': 0.24650233177881412, 'total_intl_minutes': 0.23717521652231846, 'total_intl_calls': 0.24117255163224516}",
